id,type,label
"india-ev-paradox","story","India's EV Paradox: Rising Sales, Stalled Charging, and the ₹4 Lakh Crore Battery Import Bill"
"https://siam.in","source","SIAM Annual Report 2025-26"
"https://heavyindustries.gov.in","source","Ministry of Heavy Industries EV Dashboard"
"https://niti.gov.in","source","NITI Aayog-EY Report — India's EV Battery Supply Chain"
"https://about.bnef.com","source","BloombergNEF — India EV Outlook 2026"
"india-ev-paradox-claim-0","claim","EV sales in India have grown four-fold in three years, exceeding government targets."
"hash-417272411","evidence","Sales rose from 4.2 lakh units (2021-22) to 38.4 lakh units (2025-26), outpacing the FAME-II target of 15 lakh units by 2025. EV penetration reached 7.2% of total auto sales, 2.2 percentage points above the NITI Aayog revised target of 5% by 2025."
"hash-1226212015","source","SIAM EV Sales Dashboard"
"india-ev-paradox-claim-1","claim","India's public charging infrastructure is keeping pace with EV sales growth."
"hash-1840342010","evidence","While EV sales grew 4x, public charging stations grew only 2.6x from 4,600 (2022) to 12,000 (2026). At 26% of the 46,000 target, India has 1 charger for every 320 EVs — against the recommended ratio of 1 per 40 EVs. Delhi has 2,800 stations, but states like Bihar have fewer than 100."
"hash-310133772","source","Ministry of Heavy Industries Statement"
"india-ev-paradox-claim-2","claim","India's battery import dependency is a strategic concern comparable to its oil import vulnerability."
"hash-728198324","evidence","India imports 85% of lithium-ion cells, primarily from China. The cumulative import bill is projected at ₹4 lakh crore by 2030, equivalent to roughly 15% of India's current oil import bill. China controls 76% of global battery cell production and 60% of lithium refining capacity."
"hash-1884198836","source","NITI Aayog Strategic Paper 2025"
"india-ev-paradox-claim-3","claim","Electric vehicles are cheaper than internal combustion engine vehicles even without government subsidies."
"hash-554204131","evidence","As of 2026, EVs have a 25-40% higher upfront cost than ICE counterparts across all segments. At current electricity prices (₹8/kWh avg) and ₹94/litre petrol, TCO parity for 2-wheelers is 3-4 years, for 4-wheelers 5-7 years — but this depends on subsidies. Without FAME-III subsidies, the payback period extends by 2-3 additional years."
"hash-1046509160","source","EV Industry Association Press Release"
"ayushman-bharat","story","Ayushman Bharat: India's ₹30,000 Crore Bet on Universal Health Coverage"
"https://dashboard.pmjay.gov.in","source","National Health Authority Dashboard"
"https://mohfw.gov.in","source","MoHFW Annual Report 2025-26"
"https://who.int","source","WHO India Health Systems Review 2025"
"ayushman-bharat-claim-0","claim","AB-PMJAY fraud detection system has flagged ₹450 crore in suspicious claims using AI."
"hash-1799549633","evidence","Machine-learning models flagged 12,400 suspicious claims worth ₹450 crore, leading to blacklisting of 320 hospitals and recovery of ₹180 crore."
"hash-1321105812","source","NHA Annual Report 2025-26"
"ayushman-bharat-claim-1","claim","AB-PMJAY covers all secondary and tertiary care treatments across all specialties."
"hash-1368336578","evidence","Covers 1,949 treatment packages across 26 specialties, but excludes OPD, cosmetic surgery, organ transplants, and fertility treatments. The ₹5 lakh cap per family per year is binding — 8% of claims exceeded the ceiling in 2025."
"hash-2008688868","source","Government Press Release 2023"
"ayushman-bharat-claim-2","claim","AB-PMJAY has demonstrably reduced out-of-pocket health expenditure for BPL families."
"hash-342757372","evidence","OOP expenditure declined from 62% to 48% of total health spending. Beneficiary families reported 34% lower catastrophic health expenditure vs non-beneficiaries."
"hash-1740687316","source","WHO India Health Systems Review 2025"
"electoral-bonds","story","Electoral Bonds: The ₹12,769 Crore Anonymous Donation Scheme the Supreme Court Struck Down"
"https://eci.gov.in","source","Election Commission of India — Electoral Bond Donor Data"
"https://adrindia.org","source","Association for Democratic Reforms (ADR) Reports"
"https://ft.com","source","Financial Times — India Electoral Bond Analysis"
"https://livemint.com","source","Livemint — Electoral Bond Data Analysis"
"electoral-bonds-claim-0","claim","Electoral bonds ended anonymous cash donations and brought transparency to political funding."
"hash-1718611156","evidence","While bonds replaced cash donations, they created a new form of anonymity — donations through bonds were completely anonymous, with no public disclosure of donor identity. Cash donations to political parties actually increased 4x after the scheme, from ₹283 crore (2016-17) to ₹1,168 crore (2022-23)."
"electoral-bonds-claim-1","claim","The Supreme Court struck down electoral bonds because they violated the right to information."
"hash-14168066","evidence","The 5-judge Constitution Bench unanimously held that anonymous political donations violate Article 19(1)(a) — the right to know the sources of funding of candidates and political parties. The Court called information asymmetry ""the antithesis of democracy."""
"hash-1488378218","source","Supreme Court of India"
"electoral-bonds-claim-2","claim","Companies under investigation donated disproportionately to the BJP."
"hash-2094227292","evidence","41 companies under CBI, ED, or Income Tax investigation donated ₹2,471 crore to the BJP, accounting for 96% of all probed companies' bond donations. Only ₹100 crore from probed companies went to all other parties combined."
"hash-1681548906","source","The Breakdown Analysis"
"electoral-bonds-claim-3","claim","Electoral bonds were redeemable only by registered political parties, preventing misuse."
"hash-62119732","evidence","While technically true that only registered parties could redeem bonds, there was no upper limit on donations, no cap on corporate donations (removed in 2017), and no disclosure requirement — creating a perfect vehicle for quid pro quo arrangements, as evidenced by the contractor-donor overlap."
"electoral-bonds-claim-4","claim","Shell companies with no real operations could not purchase electoral bonds."
"hash-1962736018","evidence","ADR analysis identified 30 shell companies — registered at the same addresses, with negligible business activity and minimal tax payments — that collectively purchased ₹143.2 crore in electoral bonds. Companies needed only a valid bank account and KYC documents."
"who-cancer-report-2026","story","Global Cancer Crisis: WHO Report Warns 35 Million Cases Per Year by 2050 Without Urgent Action"
"https://who.int/publications/cancer-report-2026","source","WHO Global Status Report on Cancer 2026"
"https://gco.iarc.fr","source","IARC GLOBOCAN 2024 — Global Cancer Observatory"
"https://iarc.who.int","source","IARC — Projections of Cancer Cases by HDI (2024)"
"https://who.int/news-room/fact-sheets/detail/cancer","source","WHO — Cancer Fact Sheet"
"https://ncdirindia.org","source","ICMR-National Cancer Registry Programme — India Data"
"https://who.int/india/health-topics/cancer","source","WHO India — Cancer Country Profile 2024"
"https://thelancet.com/journals/lanonc","source","Lancet Oncology — Global Cancer Disparities Series (2025)"
"https://worldbank.org/uhc","source","World Bank — UHC Service Coverage Index"
"who-cancer-report-2026-claim-0","claim","Global cancer cases will increase 70% by 2050 without intervention, reaching 35 million annually."
"hash-2118507891","evidence","The projection is based on IARC GLOBOCAN 2024 data using population ageing and growth trends combined with modelled changes in incidence rates. The 70% increase (from 20.6M to 35M) is consistent with IARC's February 2024 projections of a 77% increase from the 2022 baseline of 20M to 35M by 2050."
"hash-220232762","source","WHO Global Status Report on Cancer 2026"
"who-cancer-report-2026-claim-1","claim","Breast cancer survival exceeds 85% in high-income countries but falls below 50% in low-income countries."
"hash-398449419","evidence","The reported figures are 87% 5-year survival in HICs versus 42% in LICs. The gap is driven by late-stage diagnosis (70% of breast cancers in LICs are diagnosed at Stage III or IV), limited access to radiotherapy and chemotherapy, and lack of mammographic screening programmes."
"who-cancer-report-2026-claim-2","claim","Lung cancer is the leading cause of cancer death worldwide, causing more deaths than breast, colorectal, and prostate cancers combined."
"hash-282285092","evidence","Lung cancer caused 1.86 million deaths in 2024. The combined deaths from breast (694K), colorectal (918K), and prostate (402K) cancers total approximately 2.01 million — meaning lung cancer alone accounts for nearly as many deaths as these three combined. Lung cancer's 85% mortality-to-incidence ratio reflects late diagnosis and limited treatment options in most countries."
"hash-1584981373","source","WHO / IARC GLOBOCAN 2024"
"who-cancer-report-2026-claim-3","claim","Most countries include comprehensive cancer care in their universal health coverage packages."
"hash-1517312654","evidence","Less than one-third of WHO member states include cancer diagnosis, treatment, and palliative care in their UHC benefit packages. Even where coverage exists, it often excludes newer targeted therapies and immunotherapies due to high costs. The WHO report notes that only 37% of countries have national cancer control plans that are fully funded."
"who-cancer-report-2026-claim-4","claim","Cancer diagnoses are projected to grow fastest in lower-HDI countries, with a 142% increase by 2050."
"hash-1836421101","evidence","IARC projections published in February 2024 estimate that low-HDI countries will see a 142% increase in new cancer cases between 2022 and 2050, compared to 56% in very high-HDI countries. This is driven by ageing populations, increasing adoption of cancer-associated lifestyle risk factors (smoking, processed foods, physical inactivity), and limited preventive healthcare infrastructure."
"hash-1510698346","source","IARC / WHO"
"who-cancer-report-2026-claim-5","claim","Tobacco use is responsible for one in four cancer deaths in India."
"hash-1701901396","evidence","Tobacco-related cancers account for 27% of India's total cancer burden. India has 26.7 crore tobacco users — the second-highest number in the world — with smokeless tobacco (khaini, gutka, pan masala) being the predominant form. Oral cancer, directly linked to smokeless tobacco use, is the most common cancer among Indian men."
"hash-713579779","source","ICMR / WHO India"
"who-cancer-report-2026-claim-6","claim","India's cancer incidence is lower than the global average due to its young population."
"hash-152896343","evidence","India's age-standardized cancer incidence rate is approximately 102 per 100,000, compared to the global average of 210 per 100,000 and rates above 350 per 100,000 in high-income countries. However, this is largely a demographic artefact: 65% of India's population is under 35, and cancer risk increases exponentially with age. As India's population ages, absolute case numbers will rise sharply regardless of prevention efforts."
"hash-421400256","source","WHO / IARC Analysis"
"who-cancer-report-2026-claim-7","claim","Radiation therapy is accessible to fewer than 10% of patients in low-income countries."
"hash-897509235","evidence","The report finds that high-income countries have approximately 1 radiotherapy machine per 100,000 population, while low-income countries have 1 per 1.5 million population. The WHO estimates that 50-60% of cancer patients should receive radiotherapy as part of their treatment, but in LICs, the actual access rate is below 10%. This is one of the largest therapeutic gaps in global oncology."
"us-iran-war-strait-of-hormuz","story","The Strait of Hormuz War: How the US-Iran Conflict Broke Global Energy Markets"
"https://abcnews.com/us-iran-ceasefire-timeline","source","ABC News — US-Iran Ceasefire Timeline"
"https://hormuzstraitmonitor.com/crisis-timeline/","source","Strait of Hormuz Monitor — Crisis Timeline"
"https://globalsecurity.org/military/ops/iran-war-oprep.htm","source","Global Security — Iran War 2026 Day 131 Update"
"https://seavantage.com/blog/strait-of-hormuz-crisis-2026","source","SeaVantage — Strait of Hormuz Crisis Shipping Impact"
"https://discoveryalert.com.au","source","Discovery Alert — India Oil Imports & Strait of Hormuz"
"https://timesnownews.com","source","Kpler / Times Now — India Oil Import Data"
"https://cnbc.com","source","CNBC — Oil Markets & Iran War Coverage"
"https://iea.org","source","IEA — Energy Infrastructure Damage Assessment"
"https://mappr.co/strait-of-hormuz-crisis-2026/","source","Mappr — Strait of Hormuz Crisis 2026 Interactive Map"
"us-iran-war-strait-of-hormuz-claim-0","claim","The Strait of Hormuz carries approximately 20% of global seaborne oil trade daily."
"hash-502652728","evidence","EIA data confirms approximately 20-21 million barrels per day transit the strait, representing roughly 20% of global petroleum liquids consumption and 25% of total seaborne oil trade. This is consistent across multiple independent sources including IEA and LSEG."
"hash-548517256","source","US Energy Information Administration"
"us-iran-war-strait-of-hormuz-claim-1","claim","India has diversified 70% of its crude imports away from the Hormuz corridor."
"hash-460950700","evidence","As of March 2026, approximately 70% of India's crude imports arrive via alternative maritime routes, up from 55% the previous year. However, this statistic masks continued indirect exposure: alternative routes still source Gulf crude that transits other chokepoints, and LPG dependence remains at 90%."
"hash-468169744","source","Ministry of Petroleum and Natural Gas Secretary Neeraj Mittal"
"us-iran-war-strait-of-hormuz-claim-2","claim","Brent crude could reach $170-200 per barrel if the strait remains fully closed."
"hash-122466878","evidence","Scenario modelling by multiple analysts projects Brent crude reaching $170-200 per barrel within weeks to months under a sustained full closure, depending on SPR deployment and non-Gulf producer response. Historical analogues (1973 embargo: prices quadrupled) support these projections."
"hash-2003103752","source","Multiple Analyst Models"
"us-iran-war-strait-of-hormuz-claim-3","claim","The ceasefire MOU was working until Israel's actions in Lebanon sabotaged it."
"hash-1314287492","evidence","The ceasefire was always fragile. While Israeli strikes on Lebanon (April 8 and June 8) triggered Iranian responses, the MOU's collapse on July 7 was preceded by Iran striking three commercial vessels — an act that directly violated the strait reopening terms. Both sides contributed to the breakdown."
"hash-1078449656","source","Iranian Officials"
"us-iran-war-strait-of-hormuz-claim-4","claim","India's oil import costs have increased by $2.5 billion per month since the war began."
"hash-2014828382","evidence","Based on India importing ~4.4M bpd crude oil and crude prices averaging ~$25/barrel higher since Feb 28 compared to pre-war levels, the additional monthly import cost is approximately $2.5 billion. This is consistent with industry analyst estimates."
"hash-746215606","source","The Breakdown Estimate"
"us-iran-war-strait-of-hormuz-claim-5","claim","The IRGC is charging $1 million+ per vessel to transit the strait."
"hash-1635119414","evidence","Multiple shipping intelligence sources report Iran is limiting crossings and charging tolls reported to exceed $1 million per vessel. Iran's chief negotiator Ghalibaf confirmed on July 6 that the strait will ""never return to pre-war status"" and that Iran agreed not to charge transit fees for 60 days only ""at the insistence of Gulf Arab states."""
"hash-375274217","source","SeaVantage / Strait of Hormuz Monitor"
"us-iran-war-strait-of-hormuz-claim-6","claim","The US Senate passed a war-powers resolution against the conflict."
"hash-952167303","evidence","The Senate voted 50-48 on June 23, 2026 to pass a war-powers resolution directing the President to remove US forces from hostilities absent a declaration of war. The administration's position that hostilities ""have terminated"" was directly contradicted by the July 7-9 resumption of sustained strikes."
"hash-389734294","source","Congressional Record"
"epf-scheme-2026","story","EPF Scheme 2026: India Replaces 74-Year-Old Retirement Law Under New Social Security Code"
"https://labour.gov.in","source","EPF Scheme 2026 — Gazette Notification G.S.R. 525(E)"
"https://economictimes.indiatimes.com/wealth/invest/epf-scheme-2026-replaces-epf-scheme-1952","source","Economic Times — EPF Scheme 2026 Analysis"
"https://moneycontrol.com/news/business/personal-finance/epf-scheme-2026-notified","source","Moneycontrol — EPF Scheme 2026 Changes"
"https://wionews.com/india-news/epf-scheme-2026-new-pf-rules","source","WION — India's New EPF Rules 2026 Explained"
"https://kustodian.life/provident-fund/epfo-latest-news/epf-scheme-2026","source","Kustodian — EPF Scheme 2026 Complete Guide"
"https://epfindia.gov.in","source","EPFO Annual Report 2024-25"
"https://livemint.com/money/personal-finance/eps2026-replaces-eps-95","source","Mint — EPS 2026 Replaces EPS-95"
"epf-scheme-2026-claim-0","claim","The EPF Scheme 2026 changes the employee contribution rate from 12% to a new rate."
"hash-1464067465","evidence","The employee contribution rate remains unchanged at 12% of wages for most establishments (10% for notified establishments). The new scheme formalizes the existing ₹15,000 wage ceiling and ₹1,800 mandatory minimum contribution. No rate change was introduced."
"hash-144755810","source","Social Media Rumours"
"epf-scheme-2026-claim-1","claim","The EPF interest rate of 8.25% for FY 2025-26 is risk-free and guaranteed by the government."
"hash-1061623925","evidence","The EPF interest rate is set annually by the Central Board of Trustees and notified by the government. While not statutorily guaranteed like a bond coupon, the government has never defaulted on EPF interest payments. EPFO's assets of ₹28.34 lakh crore provide substantial backing. The rate significantly outperforms bank FDs (SBI 5-year FD: ~6-6.5%)."
"hash-607604305","source","Common Understanding"
"epf-scheme-2026-claim-2","claim","EPS pension will be processed within 20 days or EPFO pays 12% interest penalty."
"hash-1215843637","evidence","EPS 2026 mandates that pension claims must be settled within 20 days of application. If EPFO delays without sufficient cause, it must pay 12% interest per annum on the delayed amount. This is a significant governance improvement over EPS-95, which had no statutory claim timeline."
"hash-1142426193","source","EPS 2026 Notification"
"epf-scheme-2026-claim-3","claim","The minimum monthly pension under EPS 2026 has been increased from ₹1,000."
"hash-1320460226","evidence","The minimum monthly pension remains at ₹1,000, unchanged from EPS-95. Labour unions and experts had demanded an increase to at least ₹3,000-5,000. The notification does not address this long-standing demand."
"hash-1133688189","source","Speculation"
"epf-scheme-2026-claim-4","claim","Existing EPF subscribers need to re-register under the new scheme."
"hash-673469689","evidence","Existing EPF subscribers under the 1952 scheme are automatically transitioned to the 2026 scheme. There is no requirement for re-registration, new KYC, or any action from existing members. Account balances and accumulated benefits continue without interruption."
"hash-1382609259","source","Misinformation"
"epf-scheme-2026-claim-5","claim","The government can temporarily reduce EPF contributions during emergencies."
"hash-2085986053","evidence","The new scheme gives the central government power to temporarily reduce or defer EPF contributions for up to 3 months during pandemics, epidemics, and national disasters. This is a new provision not present in the 1952 scheme, providing fiscal flexibility during crises."
"hash-1873599827","source","EPF Scheme 2026 Notification"
"epf-scheme-2026-claim-6","claim","EPF tax-free compounding generates significantly more wealth than bank FDs over long periods."
"hash-1834974536","evidence","A worker investing ₹3,000 monthly for 30 years accumulates approximately ₹47 lakh in EPF at 8.25% versus ~₹33 lakh in a bank FD at 6.5% — a 42% gap of over ₹14 lakh. This gap widens further when accounting for EPF's tax-free compounding versus taxable FD interest."
"hash-154230995","source","Financial Analysis"
"youth-mental-health-crisis","story","Youth Mental Health Crisis in India: Understanding Rising Suicide Rates"
"https://ncrb.gov.in","source","NCRB Accidental Deaths & Suicides in India 2023"
"https://nimhans.ac.in","source","National Mental Health Survey 2015–16 (NIMHANS)"
"https://thelancet.com","source","Lancet Child & Adolescent Health — India Depression Prevalence 2022"
"https://icmr.gov.in","source","ICMR Adolescent Health Survey 2023"
"https://education.gov.in","source","Ministry of Education RTI Response — School Counsellors 2024"
"https://telemanas.mohfw.gov.in","source","Tele-MANAS Ministry of Health Dashboard 2024"
"https://legislative.gov.in","source","Mental Healthcare Act, 2017"
"https://unesco.org","source","UNESCO Global Education Monitoring Report 2023"
"youth-mental-health-crisis-claim-0","claim","Student suicides in India increased by over 35% between 2019 and 2023."
"hash-852314754","evidence","NCRB's Accidental Deaths & Suicides in India reports 9,600 student suicides in 2019 vs 13,044 in 2023 — a 35.9% increase. The trajectory shows consistent year-over-year growth with no single-year decline."
"hash-368620646","source","NCRB ADSI Reports 2019 & 2023"
"youth-mental-health-crisis-claim-1","claim","Only 12% of government schools in India have a counsellor."
"hash-1019369598","evidence","RTI response filed by The Breakdown to the Ministry of Education confirmed that only 12% of government schools have a counsellor. The majority of these counsellors are untrained in adolescent mental health."
"hash-863786182","source","Ministry of Education RTI Response 2024"
"youth-mental-health-crisis-claim-2","claim","Academic pressure is the leading cause of student suicides in India."
"hash-155444198","evidence","NCRB data shows ""failure in examination"" and ""academic pressure"" as the most commonly cited cause at 25% of cases. However, experts caution that this may be the proximate trigger rather than root cause."
"hash-2094346421","source","NCRB ADSI 2023"
"youth-mental-health-crisis-claim-3","claim","India has sufficient child psychiatrists to meet WHO standards."
"hash-1160759957","evidence","WHO recommends 1 child psychiatrist per 10,000 population. India has 0.3 per 100,000 — a staggering 97% deficit. This translates to a gap of approximately 3,000 child psychiatrists."
"youth-mental-health-crisis-claim-4","claim","The Mental Healthcare Act 2017 guarantees free mental healthcare for all."
"hash-1412390596","evidence","Section 21(4) of the Mental Healthcare Act, 2017 states that ""every person with mental illness shall have a right to access mental health services at affordable cost"". However, implementation varies widely by state."
"hash-170515013","source","Legal Provisions"
"youth-mental-health-crisis-claim-5","claim","Social media is a leading documented cause of student suicides."
"hash-1478955157","evidence","While social media is often cited anecdotally, NCRB data does not list it as a separate category. Bullying (including cyberbullying) accounts for 12% of cases. The ICMR survey found 42% of adolescents feel ""constantly judged"" online, creating indirect pressure."
"hash-85182403","source","Media Narratives"
"youth-mental-health-crisis-claim-6","claim","Tele-MANAS has received over 15 lakh calls since launch."
"hash-26912117","evidence","The Tele-MANAS helpline (launched October 2022) has cumulatively received over 15 lakh calls as of March 2026, averaging approximately 1,200 calls per day. This indicates massive unmet demand for mental health support."
"hash-4677816","source","Ministry of Health Dashboard"
"gig-worker-rights","story","Gig Worker Rights in India: The Fight for Dignity in the Platform Economy"
"https://karnataka.gov.in","source","Karnataka Platform-Based Gig Workers Act, 2024"
"https://eshram.gov.in","source","Ministry of Labour — e-Shram Dashboard"
"https://ilo.org","source","ILO — World Employment and Social Outlook: The role of digital labour platforms"
"https://loksabha.nic.in","source","Parliamentary Standing Committee on Labour — Report on Gig Workers (2025)"
"https://lokniti.org","source","Lokniti-CSDS Survey on Platform Workers (2024)"
"https://ifat.org.in","source","IFAT India — Gig Worker Grievances Report (2025)"
"https://zomato.com","source","Zomato / Swiggy Annual Reports (Delivery Partner Data)"
"https://rajasthan.gov.in","source","Rajasthan Platform-Based Gig Workers Act, 2023"
"gig-worker-rights-claim-0","claim","India's gig and platform workforce was 77 lakh in 2020-21 and is projected to reach 2.35 crore by 2029-30."
"hash-2083174792","evidence","NITI Aayog's flagship report explicitly estimates 7.7 million gig workers in 2020-21, growing to 23.5 million by 2029-30, driven by e-commerce, logistics, and delivery services."
"hash-824986333","source","NITI Aayog — India's Booming Gig and Platform Economy (2022)"
"gig-worker-rights-claim-1","claim","Karnataka is the first Indian state to legislate social security for platform-based gig workers."
"hash-1717455501","evidence","The Karnataka Act, 2024 (rules notified 2025) is the first comprehensive state legislation mandating a welfare board, registration, and a transaction-based welfare fee. Rajasthan passed a similar Act in 2023 but it has seen limited enforcement."
"hash-589462727","source","Karnataka Platform-Based Gig Workers Act, 2024"
"gig-worker-rights-claim-2","claim","The central government's Code on Social Security 2020 provisions for gig workers are fully implemented."
"hash-181476421","evidence","While the Code was passed in 2020 and notified, the specific schemes for gig and platform workers under Section 114 have not been operationalised. No national welfare board or contribution mechanism exists as of 2026."
"gig-worker-rights-claim-3","claim","Most gig workers earn a stable, predictable monthly income."
"hash-212988274","evidence","ILO and academic surveys show high income volatility: earnings swing 30-50% month to month based on incentives, demand, and algorithmic rank. A 2024 Lokniti survey found 60% of delivery workers could not predict next month's income."
"hash-392289266","source","Platform Narratives"
"gig-worker-rights-claim-4","claim","Algorithmic deactivation without notice is a widespread grievance among gig workers."
"hash-55266647","evidence","Multiple surveys (including a 2025 IFAT report) find 40%+ of workers have been deactivated or penalised without clear recourse. The Karnataka Act now requires aggregators to provide reasons and an appeal mechanism."
"hash-1893620678","source","Worker Collective Surveys, Media Reports"
"gig-worker-rights-claim-5","claim","Women comprise a large and growing share of India's gig workforce."
"hash-1036108086","evidence","Women are about 20-23% of gig workers, concentrated in lower-paid categories like beauty, childcare, and home services — not delivery. The platform economy has not closed the gender gap; pay disparities persist."
"hash-1864213596","source","NITI Aayog / ILO"
"gig-worker-rights-claim-6","claim","Over 30 crore unorganised workers are now covered by the e-Shram database."
"hash-1001756721","evidence","The e-Shram portal crossed 30 crore registrations by early 2026, creating the world's largest unorganised worker database. However, portability of benefits to gig workers remains limited in practice."
"hash-255605561","source","Ministry of Labour Dashboard 2026"
"namami-gange-under-fire","story","Namami Gange: Inside India's ₹27,000 Crore Fight to Clean the Ganga — and the Communities It Left Behind"
"https://cag.gov.in/uploads/download_audit_report/2025/Report-No.-2-of-2025_Namami-Gange_UK_English-(04-07-2025)-069b020170bd314.74984302.pdf","source","CAG Report No. 2 of 2025: Performance Audit of Namami Gange in Uttarakhand"
"https://cag.gov.in/uploads/download_audit_report/2017/Report_No.39_of_2017_-_Performance_Audit_on_Ministry_of_Water_Resources,_River_Development_&_Ganga_Rejuvenation_Union_Government.pdf","source","CAG Report No. 39 of 2017: Performance Audit of Rejuvenation of River Ganga (Namami Gange)"
"https://pib.gov.in/PressReleasePage.aspx?PRID=2244007","source","PIB: Status of Namami Gange Programme (Mar 2026)"
"https://www.pib.gov.in/PressReleasePage.aspx?PRID=2109118","source","PIB: Restoring the Divine Glory of River Ganga (Mar 2025)"
"https://pib.gov.in/PressReleasePage.aspx?PRID=2150722","source","PIB: Allocation of Funds Under NMCG (Jul 2025)"
"https://www.jalshakti-dowr.gov.in/static/uploads/2025/12/9f19eeb5c327c523bb9af86a310a45d8.pdf","source","Ministry of Jal Shakti: Pollution in Ganga River (Dec 2025)"
"https://avantiscdnprodstorage.blob.core.windows.net/legalupdatedocs/47384/CPCB-issued-a-Report-on-Polluted-River-Stretches-for-Restoration-of-Water-Quality-2025-SEP292025.pdf","source","CPCB: Polluted River Stretches for Restoration of Water Quality (Sep 2025)"
"https://cpcb.nic.in","source","CPCB Report to NGT: Water Quality at Mahakumbh 2025 — Faecal Coliform at 49,000 MPN/100ml"
"https://cpcb.gov.in/nwmp-data-2025","source","CPCB: National Water Quality Monitoring Programme Data 2025"
"https://frontline.thehindu.com/environment/namami-gange-displacement-riverbank-cleaning-up-river-restoration/article70955264.ece","source","Frontline/Ankit Mishra: Namami Gange's Hidden Cost — Displacing Riverbank Communities (May 12, 2026)"
"https://frontline.thehindu.com/the-nation/murky-waters/article10008438.ece","source","Frontline/Akshay Deshmane: Murky Waters — CAG Report Analysis (Apr 26, 2018)"
"https://economictimes.indiatimes.com/news/india/namami-gange-failed-to-deliver-expected-results-in-uttarakhand-cag-report/articleshow/129558284.cms","source","Economic Times/PTI: Namami Gange Failed to Deliver Results in Uttarakhand — CAG (Mar 13, 2026)"
"https://www.nationalheraldindia.com/india/namami-gange-why-it-is-a-failure","source","National Herald/Dhairya Maheshwari: Namami Gange — Why It Is a Failure (Oct 21, 2018)"
"https://timesofindia.indiatimes.com/india/complete-failure-in-cleaning-up-ganga-cong-slams-govt/articleshow/110584892.cms","source","Times of India: Complete Failure in Cleaning Up Ganga — Congress Slams Govt (May 31, 2024)"
"https://www.downtoearth.org.in/governance/daily-court-digest-major-environment-orders-july-26-2024","source","Down To Earth/DTE Staff: Namami Gange Plans Developed for 3 UP Districts — NGT Order (Jul 29, 2024)"
"https://www.downtoearth.org.in/governance/daily-court-digest-major-environment-orders-january-13-2025","source","Down To Earth/DTE Staff: NGT Orders NMCG Director to Define Active Floodplain (Jan 14, 2025)"
"https://www.downtoearth.org.in/environment/daily-court-digest-major-environment-orders-september-5-2024","source","Down To Earth: NGT Orders on Kanpur Tanneries Polluting Ganga (Sep 5, 2024)"
"https://www.bhaskarenglish.in/local/uttarakhand/news/uttarakhand-assembly-water-quality-drops-ganga-cag-report-137405153.html","source","Bhaskar English: Ganga Water Quality Drops — CAG Flags Sewage in Assembly (Mar 11, 2026)"
"https://theprint.in/india/namami-gange-failed-to-deliver-expected-results-in-uttarakhand-cag-report/2878404/","source","ThePrint/PTI: Namami Gange Failed to Deliver in Uttarakhand — CAG (Mar 13, 2026)"
"https://www.unep.org","source","UNEP: World Restoration Flagships 2022 — Namami Gange Recognised at COP15"
"https://www.resgov.org/contents/reports/130_Namami%20Gange%20Programme.pdf","source","ResGov: Namami Gange Programme Performance Analysis (2025)"
"https://cganga.org/wp-content/uploads/2025/10/cGanga-Report_STPs-under-NGP-GRBMP-Perspective_July-2019.pdf","source","cGanga/IIT Kanpur: Sewage Treatment Projects Under Namami Gange & GRBMP Perspective (Jul 2019)"
"https://en.wikipedia.org/wiki/Namami_Gange_Programme","source","Wikipedia: Namami Gange Programme — Comprehensive References"
"https://www.youtube.com/channel/UCdslrfFfeUDBQHNPDK6q8YQ","source","NMCG Official YouTube Channel — Namami Gange Documentaries & STP Footage"
"https://www.youtube.com/user/downtoearthindia","source","Down To Earth YouTube: Ganga Pollution Ground Reports"
"https://sandrp.in","source","SANDRP/Himanshu Thakkar: Ganga Governance Critiques & Research"
"https://cganga.org","source","cGanga: Centre for Ganga River Basin Management and Studies — IIT Kanpur"
"namami-gange-under-fire-claim-0","claim","Namami Gange has significantly improved water quality across the Ganga's main stem."
"hash-281343746","evidence","While BOD levels have improved at some stretches (e.g., Kannauj-Varanasi moved from PRS III to PRS V), 37 stretches remain in Priority I (biologically dead). Faecal coliform at Prayagraj during Mahakumbh 2025 was 20x the safe limit. CPCB itself stated water quality ""was not conforming with primary water quality criteria for bathing at all monitored locations."""
"hash-1060030697","source","Government of India/PIB"
"namami-gange-under-fire-claim-1","claim","Sewage treatment capacity has increased 30-fold since pre-2014 levels."
"hash-875101250","evidence","NMCG has created 3,446 MLD of sewage treatment capacity, compared to approximately 100 MLD before 2014. However, only 60% of approved STP capacity is actually operational, and the CAG found 12 of 44 inspected STPs discharging untreated sewage directly into the river."
"hash-951200033","source","NMCG/PIB March 2025"
"namami-gange-under-fire-claim-2","claim","The programme has successfully involved local communities in river conservation."
"hash-1020095622","evidence","CAG Report 2025 found state government officials ""failed to engage local residents, leading to improper utilisation (or complete non-utilisation) of sewage infrastructure."" Frontline (May 2026) documented displacement of Nishad, Mallah, Kewat, and Bind communities. District Ganga Plans were not formulated in any district within the basin."
"namami-gange-under-fire-claim-3","claim","The Ganga riverfront development benefits local river-dependent communities."
