source,target,type
"namami-gange-under-fire","https://www.unep.org","references"
"namami-gange-under-fire","https://www.resgov.org/contents/reports/130_Namami%20Gange%20Programme.pdf","references"
"namami-gange-under-fire","https://cganga.org/wp-content/uploads/2025/10/cGanga-Report_STPs-under-NGP-GRBMP-Perspective_July-2019.pdf","references"
"namami-gange-under-fire","https://en.wikipedia.org/wiki/Namami_Gange_Programme","references"
"namami-gange-under-fire","https://www.youtube.com/channel/UCdslrfFfeUDBQHNPDK6q8YQ","references"
"namami-gange-under-fire","https://pib.gov.in","references"
"namami-gange-under-fire","https://www.youtube.com/user/downtoearthindia","references"
"namami-gange-under-fire","https://sandrp.in","references"
"namami-gange-under-fire","https://cganga.org","references"
"namami-gange-under-fire","namami-gange-under-fire-claim-0","references"
"hash-281343746","namami-gange-under-fire-claim-0","refutes"
"hash-281343746","hash-1060030697","cites"
"namami-gange-under-fire","namami-gange-under-fire-claim-1","references"
"hash-875101250","namami-gange-under-fire-claim-1","verifies"
"hash-875101250","hash-951200033","cites"
"namami-gange-under-fire","namami-gange-under-fire-claim-2","references"
"hash-1020095622","namami-gange-under-fire-claim-2","refutes"
"hash-1020095622","hash-1484240195","cites"
"namami-gange-under-fire","namami-gange-under-fire-claim-3","references"
"hash-1755512731","namami-gange-under-fire-claim-3","refutes"
"hash-1755512731","hash-1484240195","cites"
"namami-gange-under-fire","namami-gange-under-fire-claim-4","references"
"hash-1838973633","namami-gange-under-fire-claim-4","verifies"
"hash-1838973633","hash-1057707053","cites"
"namami-gange-under-fire","namami-gange-under-fire-claim-5","references"
"hash-1601473469","namami-gange-under-fire-claim-5","refutes"
"hash-1601473469","hash-1484240195","cites"
"india-china-border-lac","https://en.wikipedia.org/wiki/Simla_Convention","references"
"india-china-border-lac","https://en.wikipedia.org/wiki/Panchsheel","references"
"india-china-border-lac","https://en.wikipedia.org/wiki/Nehru-Zhou_correspondence","references"
"india-china-border-lac","https://en.wikipedia.org/wiki/Sino-Indian_War","references"
"india-china-border-lac","https://en.wikipedia.org/wiki/India%27s_China_War","references"
"india-china-border-lac","hash-811402141","references"
"india-china-border-lac","india-china-border-lac-claim-0","references"
"hash-1091676639","india-china-border-lac-claim-0","verifies"
"hash-1091676639","hash-1061704645","cites"
"india-china-border-lac","india-china-border-lac-claim-1","references"
"hash-1817971838","india-china-border-lac-claim-1","verifies"
"hash-1817971838","hash-888775769","cites"
"india-china-border-lac","india-china-border-lac-claim-2","references"
"hash-1952093397","india-china-border-lac-claim-2","verifies"
"hash-1952093397","hash-1279848365","cites"
"india-china-border-lac","india-china-border-lac-claim-3","references"
"hash-2044328401","india-china-border-lac-claim-3","verifies"
"hash-2044328401","hash-979527186","cites"
"india-china-border-lac","india-china-border-lac-claim-4","references"
"hash-635553972","india-china-border-lac-claim-4","verifies"
"hash-635553972","hash-348608065","cites"
"india-china-border-lac","india-china-border-lac-claim-5","references"
"hash-1664047282","india-china-border-lac-claim-5","verifies"
"hash-1664047282","hash-1591142438","cites"
"india-china-border-lac","india-china-border-lac-claim-6","references"
"hash-771598362","india-china-border-lac-claim-6","verifies"
"hash-771598362","hash-837641023","cites"
"kashmir-the-first-test","hash-218213093","references"
"kashmir-the-first-test","hash-1175103075","references"
"kashmir-the-first-test","hash-746895739","references"
"kashmir-the-first-test","hash-934279522","references"
"kashmir-the-first-test","hash-1804962846","references"
"kashmir-the-first-test","https://undocs.org","references"
"kashmir-the-first-test","kashmir-the-first-test-claim-0","references"
"hash-713718946","kashmir-the-first-test-claim-0","verifies"
"hash-713718946","hash-1624052688","cites"
"kashmir-the-first-test","kashmir-the-first-test-claim-1","references"
"hash-641002786","kashmir-the-first-test-claim-1","verifies"
"hash-641002786","hash-1079757748","cites"
"kashmir-the-first-test","kashmir-the-first-test-claim-2","references"
"hash-1402450432","kashmir-the-first-test-claim-2","verifies"
"hash-1402450432","hash-586192585","cites"
"kashmir-the-first-test","kashmir-the-first-test-claim-3","references"
"hash-618705678","kashmir-the-first-test-claim-3","verifies"
"hash-618705678","hash-801026898","cites"
"kashmir-the-first-test","kashmir-the-first-test-claim-4","references"
"hash-738738355","kashmir-the-first-test-claim-4","verifies"
"hash-738738355","hash-759552274","cites"
"kashmir-the-first-test","kashmir-the-first-test-claim-5","references"
"hash-1375346265","kashmir-the-first-test-claim-5","verifies"
"hash-1375346265","hash-389336411","cites"
"ng-ch-01","https://cag.gov.in","references"
"ng-ch-01","https://pib.gov.in","references"
"ng-ch-01","https://www.unep.org","references"
"ng-ch-01","https://worldbank.org","references"
"ng-ch-01","https://nmcg.nic.in","references"
"ng-ch-01","ng-ch-01-claim-0","references"
"hash-812601293","ng-ch-01-claim-0","verifies"
"hash-812601293","hash-2399843","cites"
"ng-ch-01","ng-ch-01-claim-1","references"
"hash-738432590","ng-ch-01-claim-1","refutes"
"hash-738432590","hash-1484240195","cites"
"ng-ch-02","https://cag.gov.in","references"
"ng-ch-02","https://pib.gov.in","references"
"ng-ch-02","https://loksabha.nic.in","references"
"ng-ch-02","ng-ch-02-claim-0","references"
"hash-379755118","ng-ch-02-claim-0","refutes"
"hash-379755118","hash-1484240195","cites"
"ng-ch-02","ng-ch-02-claim-1","references"
"hash-2137378248","ng-ch-02-claim-1","refutes"
"hash-2137378248","hash-2399843","cites"
"ng-ch-03","https://cag.gov.in","references"
"ng-ch-03","https://cpcb.nic.in","references"
"ng-ch-03","https://nmcg.nic.in","references"
"ng-ch-03","ng-ch-03-claim-0","references"
"hash-1817176545","ng-ch-03-claim-0","verifies"
"hash-1817176545","hash-2399843","cites"
"ng-ch-04","https://cag.gov.in","references"
"ng-ch-04","https://cpcb.nic.in","references"
"ng-ch-04","https://nmcg.nic.in","references"
"ng-ch-04","ng-ch-04-claim-0","references"
"hash-1085964157","ng-ch-04-claim-0","verifies"
"hash-1085964157","hash-1261148428","cites"
"ng-ch-05","https://cag.gov.in","references"
"ng-ch-05","https://cpcb.nic.in","references"
"ng-ch-05","https://nmcg.nic.in","references"
"ng-ch-06","https://cag.gov.in","references"
"ng-ch-06","https://cpcb.nic.in","references"
"ng-ch-06","https://nmcg.nic.in","references"
"ng-ch-07","https://cag.gov.in","references"
"ng-ch-07","https://cpcb.nic.in","references"
"ng-ch-07","https://nmcg.nic.in","references"
"ng-ch-07","ng-ch-07-claim-0","references"
"hash-1091281533","ng-ch-07-claim-0","refutes"
"hash-1091281533","hash-1484240195","cites"
"ng-ch-08","https://cag.gov.in","references"
"ng-ch-08","https://cpcb.nic.in","references"
"ng-ch-08","https://nmcg.nic.in","references"
"ng-ch-09","https://cag.gov.in","references"
"ng-ch-09","https://cpcb.nic.in","references"
"ng-ch-09","https://nmcg.nic.in","references"
"ng-ch-10","https://cag.gov.in","references"
"ng-ch-10","https://cpcb.nic.in","references"
"ng-ch-10","https://nmcg.nic.in","references"
"ng-ch-11","https://cag.gov.in","references"
"ng-ch-11","https://cpcb.nic.in","references"
"ng-ch-11","https://nmcg.nic.in","references"
"ng-ch-11","ng-ch-11-claim-0","references"
"hash-163199036","ng-ch-11-claim-0","verifies"
"hash-163199036","hash-522875031","cites"
"ng-ch-12","https://cag.gov.in","references"
"ng-ch-12","https://cpcb.nic.in","references"
"ng-ch-12","https://nmcg.nic.in","references"
"ng-ch-13","https://cag.gov.in","references"
"ng-ch-13","https://cpcb.nic.in","references"
"ng-ch-13","https://nmcg.nic.in","references"
"ng-ch-14","https://cag.gov.in","references"
"ng-ch-14","https://cpcb.nic.in","references"
"ng-ch-14","https://nmcg.nic.in","references"
"ng-ch-14","ng-ch-14-claim-0","references"
"hash-732944570","ng-ch-14-claim-0","verifies"
"hash-732944570","hash-103749117","cites"
"ng-ch-15","https://cag.gov.in","references"
"ng-ch-15","https://cpcb.nic.in","references"
"ng-ch-15","https://nmcg.nic.in","references"
